               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032752,            0.010024,           0.0038371,             0.77914,             0.80344,             0.79238,             0.49511,            0.038241,           0.0061219,           0.0097448,           0.0076679,           0.0076679,           0.0076679
                  36,            0.033218,            0.010182,           0.0045801,             0.80677,             0.70958,             0.72794,              0.4646,            0.039076,           0.0072968,            0.014059,            0.007543,            0.007543,            0.007543
                  37,            0.032194,            0.010117,           0.0037043,             0.76082,             0.76027,             0.74399,             0.49737,            0.039026,           0.0071389,            0.014896,            0.007416,            0.007416,            0.007416
                  38,            0.032212,           0.0096309,           0.0028555,             0.81937,             0.72176,             0.77216,             0.49841,            0.037205,           0.0069495,            0.012553,           0.0072872,           0.0072872,           0.0072872
                  39,            0.032126,           0.0095785,           0.0034765,             0.80091,             0.65031,             0.69116,             0.46018,            0.036982,           0.0078364,            0.013427,           0.0071566,           0.0071566,           0.0071566
                  40,            0.030542,           0.0097204,           0.0029677,             0.83208,             0.77502,              0.7674,             0.50663,            0.034032,           0.0068444,            0.010314,           0.0070243,           0.0070243,           0.0070243
                  41,             0.03094,           0.0092879,           0.0027201,             0.81325,             0.76107,             0.78127,             0.51052,            0.031878,           0.0066802,            0.010479,           0.0068906,           0.0068906,           0.0068906
                  42,             0.03021,           0.0091293,           0.0024817,             0.79699,             0.79637,             0.78657,             0.50707,            0.032729,           0.0069797,            0.010008,           0.0067555,           0.0067555,           0.0067555
                  43,            0.029298,           0.0088422,           0.0019923,             0.78854,             0.82832,             0.78141,             0.51193,            0.034748,           0.0067502,            0.011649,           0.0066191,           0.0066191,           0.0066191
                  44,            0.028282,           0.0089298,           0.0019632,             0.82417,             0.76966,             0.77829,             0.51132,             0.03684,           0.0069763,            0.013128,           0.0064816,           0.0064816,           0.0064816
                  45,             0.02905,           0.0082758,           0.0016929,             0.81467,             0.77479,             0.77035,             0.52383,            0.034032,           0.0073828,            0.010517,           0.0063432,           0.0063432,           0.0063432
                  46,            0.028522,            0.008294,           0.0031042,             0.80983,             0.77594,             0.78662,             0.51336,            0.033129,           0.0074472,           0.0097807,            0.006204,            0.006204,            0.006204
                  47,            0.027599,            0.008922,           0.0019221,             0.81051,             0.76515,             0.77095,             0.52789,            0.033545,           0.0074301,            0.011484,            0.006064,            0.006064,            0.006064
                  48,            0.027936,           0.0081845,           0.0015378,             0.78149,             0.77466,             0.75948,             0.53583,            0.032551,            0.007728,            0.012122,           0.0059235,           0.0059235,           0.0059235
                  49,            0.027785,           0.0093786,           0.0021213,             0.77435,             0.77553,             0.74778,              0.5182,            0.034592,           0.0078703,            0.014426,           0.0057826,           0.0057826,           0.0057826
                  50,            0.026264,           0.0090086,           0.0017649,             0.85153,             0.72172,             0.75051,             0.54762,            0.032012,           0.0075062,            0.015037,           0.0056413,           0.0056413,           0.0056413
                  51,            0.026378,            0.008188,            0.001588,             0.85742,              0.7478,             0.72795,             0.52045,            0.034054,           0.0072301,            0.016038,              0.0055,              0.0055,              0.0055
                  52,            0.025542,           0.0079844,            0.001545,             0.80383,             0.80059,             0.76565,             0.53939,            0.032213,           0.0072836,            0.012527,           0.0053587,           0.0053587,           0.0053587
                  53,            0.025827,           0.0082194,           0.0013911,             0.82595,             0.76589,             0.76177,             0.52395,            0.032675,           0.0074277,            0.012252,           0.0052174,           0.0052174,           0.0052174
                  54,             0.02475,           0.0080966,            0.001699,             0.81606,             0.73583,             0.72087,             0.51216,            0.034668,           0.0074523,            0.014996,           0.0050765,           0.0050765,           0.0050765
                  55,            0.025732,           0.0084065,            0.001415,             0.81524,             0.72882,             0.72781,             0.50246,            0.035325,           0.0077013,            0.014183,            0.004936,            0.004936,            0.004936
                  56,            0.025283,           0.0083867,           0.0015241,             0.79686,             0.77198,             0.75029,             0.51251,            0.033744,           0.0073423,            0.013401,            0.004796,            0.004796,            0.004796
                  57,            0.023906,            0.008061,           0.0013248,             0.79137,             0.77191,             0.75302,             0.51355,            0.034797,           0.0073268,            0.014242,           0.0046568,           0.0046568,           0.0046568
                  58,            0.024853,           0.0079971,            0.001493,             0.84374,              0.7786,             0.78748,             0.54303,            0.032609,           0.0070938,             0.01214,           0.0045184,           0.0045184,           0.0045184
                  59,            0.024598,           0.0080221,           0.0011089,             0.85511,             0.79888,             0.80235,              0.5482,            0.031957,           0.0069494,            0.011676,           0.0043809,           0.0043809,           0.0043809
